date,state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,recovered,death,hospitalized,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20200308,NY,105,92,,,,,,,,,,,36,29,0,197,197,29,197,0,0
20200308,OH,0,10,,,,,,,,0,,,39,0,1,14,10,1,10,0,0
20200308,OK,1,8,,,,,,,,,,,40,0,8,11,9,8,9,0,0
20200308,OR,14,100,,,,,,,,,,,41,7,23,167,114,30,114,0,0
20200308,PA,6,,,,,,,,,,,,42,2,0,6,6,2,6,0,0
20200308,RI,3,67,,,,,,3,70,3,,,44,0,18,82,70,18,70,0,0
20200308,SC,2,8,,,,,,,,,,,45,0,0,10,10,0,10,0,0
20200308,SD,0,5,,,,,,,,,,,46,0,0,5,5,0,5,0,0
20200308,TN,3,,,,,,,,,,,,47,2,0,3,3,2,3,0,0
20200308,TX,8,,,,,,,,,8,,,48,0,0,8,8,0,8,0,0
20200308,UT,1,,,,,,,,,1,,,49,0,0,1,1,0,1,0,0
20200308,VA,2,36,,,,,,,,,,,51,2,5,44,38,7,38,0,0
20200308,VT,1,30,,,,,,,,,,,50,0,5,31,31,5,31,0,0
20200308,WA,1065,1740,,,,31,,,,317,,,53,153,370,2865,2805,523,2805,4,0
20200308,WI,1,31,,,,,,,,1,,,55,0,0,44,32,0,32,0,0
20200308,WV,0,2,,,,,,,,,,,54,0,0,5,2,0,2,0,0
20200308,WY,0,,,,,,,,,,,,56,0,0,0,0,0,0,0,0
20200309,AK,0,23,,,,0,,,,0,,,2,0,9,32,23,9,23,0,0
20200309,AL,0,,,,,,,,,0,,,1,0,0,0,0,0,0,0,0
20200309,AR,0,12,,,,,,,,0,,,5,0,6,12,12,6,12,0,0
20200309,AZ,5,44,,8,,,8,,,,,,4,0,0,56,49,0,49,0,2
20200309,CA,114,690,,,,,,,,,,,6,26,228,804,804,254,804,0,0
20200309,CO,9,133,,,,,,,,,,,8,1,29,142,142,30,142,0,0
20200309,CT,1,46,,,,,,,,,,,9,0,17,47,47,17,47,0,0
20200309,DC,1,14,,,,,,,,,,,11,0,4,18,15,4,15,0,0
20200309,DE,0,15,,,,0,,,,,0,0,10,0,5,18,15,5,15,0,0
20200309,FL,18,140,,,,,,,,,,,12,1,22,273,158,23,158,0,0
20200309,GA,12,,,,,,,,,,,,13,5,0,12,12,5,12,0,0
20200309,HI,2,,,,,,,,,,,,15,1,0,2,2,1,2,0,0
20200309,IA,3,26,,,,,,,,3,,,19,3,11,37,29,14,29,0,0
20200309,ID,0,41,,,,,,,,,,,16,0,14,41,41,14,41,0,0
20200309,IL,7,191,,,,,,,,,,,17,1,0,242,198,1,198,0,0
20200309,IN,2,,,,,,,,,,,,18,0,0,2,2,0,2,0,0
20200309,KS,1,11,,,,,,,,,,,20,0,0,12,12,0,12,0,0
20200309,KY,4,17,,,,,,,,,,,21,3,4,21,21,7,21,0,0
20200309,LA,1,5,,,,,,,,,,,22,1,0,6,6,1,6,0,0
20200309,MD,5,73,,,,,,,,5,,,24,2,21,78,78,23,78,0,0
20200309,ME,0,1,,,,,,,,,,,23,0,0,1,1,0,1,0,0
20200309,MI,254,36,,,,,,,,372,0,0,26,86,10,301,290,96,290,0,0
20200309,MN,5,80,,,,,,,,5,,,27,3,32,85,85,35,85,0,0
20200309,MO,1,,,,,,,7,29,,,,29,0,0,1,1,0,1,0,0
20200309,MS,0,,,,,,,,,,,,28,0,0,0,0,0,0,0,0
20200309,MT,0,11,,,,,,,,,,,30,0,0,11,11,0,11,0,0
20200309,NC,2,,,,,,,,,,,,37,0,0,2,2,0,2,0,0
20200309,ND,0,0,,,,,,,,,,,38,0,0,0,0,0,0,0,0
20200309,NE,3,36,,,,,,,,,,,31,2,19,48,39,21,39,0,0
20200309,NH,4,38,,,,,,,,,,,33,0,0,47,42,0,42,0,0
20200309,NJ,11,35,,,,,,,,,,,34,5,4,60,46,9,46,0,0
20200309,NM,0,57,,,,,,,,,,,35,0,9,57,57,9,57,0,0
20200309,NV,1,14,,,,0,,,,,,,32,0,0,15,15,0,15,0,0
20200309,NY,142,92,,,,,,,,,,,36,37,0,234,234,37,234,0,0
20200309,OH,3,11,,,,,,,,3,,,39,3,1,19,14,4,14,0,0
20200309,OK,1,8,,,,,,,,,,,40,0,0,19,9,0,9,0,0
20200309,OR,14,165,,,,,,,,,,,41,0,65,231,179,65,179,0,0
